Density,Sonic,Gamma
1512.9009,517.4457,24.3851
1530.7012,517.0416,24.3851
1539.0297,515.1874,24.4447
1517.75,511.9985,24.9767
1527.2806,511.4059,26.0482
1541.771,512.5313,26.2686
1545.818,513.9849,26.2686
1528.0847,513.2371,26.2686
1536.5779,514.9396,26.2686
1552.4199,519.1617,26.2713
1534.8949,521.4454,26.2827
1553.8556,523.4724,26.3166
1542.9172,525.2564,26.4947
1498.5365,522.2742,26.4947
1516.3147,524.2826,26.6095
1513.693,520.2872,27.5075
1518.6543,514.0136,27.5075
1533.535,505.5723,27.5619
1559.9424,496.9841,28.332
1634.4056,499.6799,28.5252
1701.7262,496.647,28.5347
1740.3966,487.9232,29.2302
1724.1,489.5883,29.6841
1765.8406,479.5848,30.0953
1780.5128,482.0827,30.1605
1757.0692,480.0265,30.1626
1686.8234,475.894,30.1049
1666.4432,467.5868,28.996
1665.7347,463.4695,28.9
1633.4364,458.5305,28.9
1613.7557,461.1221,28.9
1625.9243,467.0938,28.9
1654.7786,472.6234,28.4613
1731.8014,468.9237,28.2726
1803.37,457.85,27.7488
1815.3927,455.4973,27.5934
1782.5109,459.0886,27.5789
1720.2476,464.7833,27.2795
1656.6329,476.4782,27.1836
1613.9553,483.5809,26.4321
1603.0438,485.7995,25.618
1574.4791,487.2852,25.3485
1535.3375,485.1403,25.3238
1481.3291,481.212,25.3238
1436.3528,478.4673,25.3238
1400.1693,475.708,25.3238
1381.4404,474.8907,25.4213
1374.6989,477.1377,25.3539
1380.7736,480.7071,24.5382
1419.0114,484.7866,22.9717
1478.5597,486.4707,22.1668
1529.8059,484.463,22.1668
1570.4856,478.4789,23.4782
1584.688,473.1142,24.6885
1580.8326,474.1529,24.9685
1585.7601,478.8019,25.6175
1600.704,483.8734,26.5431
1629.063,487.6523,27.8083
1667.9741,489.0455,28.851
1710.3295,490.3737,29.3276
1733.8937,490.7074,30.0207
1733.3029,489.0247,30.9338
1746.287,486.528,31.4415
1778.5066,484.8661,31.8552
1815.4856,484.921,31.8692
1813.9091,486.2933,31.8846
1780.4579,489.1895,31.8678
1768.0669,490.4373,31.8557
1768.6481,485.2847,31.747
1787.229,480.5122,31.6624
1800.179,482.5477,31.1376
1806.7174,485.8648,29.8355
1791.46,484.9191,28.2562
1765.4182,483.9697,28.2101
1750.4336,483.485,27.9863
1740.8975,484.6492,27.5229
1728.6304,487.915,27.3392
1704.6222,486.6476,25.8136
1661.2766,485.5316,23.3737
1624.0057,487.3543,23.3644
1575.1666,496.7973,23.274
1540.835,506.1913,23.3821
1497.9619,515.5647,23.5306
1471.5541,520.7084,23.5258
1414.9623,526.2864,23.3584
1394.6,530.7903,24.2867
1373.2401,531.7757,24.2867
1380.5964,531.3123,24.3504
1378.9758,530.7694,25.1221
1369.2438,531.2589,25.5661
1371.5729,531.2099,25.9633
1381.7574,530.9586,26.8524
1392.4379,530.7823,27.918
1418.6846,530.4895,28.1941
1494.559,530.1431,28.2157
1585.7905,528.3228,28.0631
1596.4656,521.0273,27.377
1585.1255,516.1609,26.7273
1590.54,517.4064,25.8826
1587.15,521.8077,25.5112
1530.1923,529.2902,25.4597
1463.1984,534.2931,24.2219
1450.9075,534.3378,22.9943
1466.9448,527.8121,22.6955
1496.5542,518.5964,22.6955
1501.2122,510.7778,23.4172
1478.0577,507.31,24.6052
1477.9987,508.5107,25.0216
1511.5276,511.9643,25.0216
1514.1776,515.6733,23.2539
1514.0669,519.7996,22.2008
1531.0291,523.3214,22.2008
1567.5233,525.6214,22.2777
1597.394,527.2526,23.6452
1602.168,527.1867,24.6906
1605.7719,525.5992,24.7043
1607.0052,522.1162,24.6888
1577.7465,518.3721,24.8342
1551.344,517.9194,24.6406
1552.9001,519.4282,24.2527
1555.5721,520.3481,24.5747
1539.6006,521.0289,25.0073
1519.6046,521.69,25.0192
1532.42,522.6342,24.9736
1552.8298,525.1205,25.0769
1578.8306,527.3686,25.236
1604.1691,525.7726,24.9939
1590.2618,522.8803,24.7799
1569.1603,521.0256,25.2146
1591.4023,521.0745,25.228
1634.2759,523.6708,25.4136
1647.1656,529.3563,25.8751
1650.0873,533.2575,25.8751
1649.1227,534.096,25.8751
1628.8699,534.3095,25.7402
1599.5172,533.6458,25.2797
1604.6708,531.5147,25.3683
1603.1688,527.1873,25.91
1574.4728,523.9802,26.8047
1551.3904,524.429,27.1883
1545.9479,527.2258,27.2153
1545.2745,530.4053,27.2117
1550.7401,528.4808,27.089
1577.1351,527.1534,26.17
1596.8264,529.7491,26.17
1592.3684,529.1829,26.203
1578.4155,529.4338,26.8761
1546.5139,530.5916,26.8813
1510.8,532.4249,27.2639
1471.9,536.8327,27.2639
1417.7371,539.5972,26.8813
1409.7488,535.5489,26.293
1417.7947,530.6649,27.2177
1442.0034,525.2646,29.4236
1442.136,517.6631,29.651
1443.36,517.9913,30.576
1477.7334,520.4569,31.6573
1548.7441,525.4221,31.7831
1554.5592,523.5745,31.7831
1490.6418,524.1386,30.2835
1399.3206,528.5872,27.2251
1375.5184,532.6793,26.6438
1375.3076,538.3857,26.6438
1379.7214,536.988,28.6638
1383.2563,532.9248,30.789
1389.302,528.229,31.6415
1394.8064,522.3422,31.7665
1396.2,523.3047,31.7665
1397.7948,525.8349,30.9941
1400.5399,531.1198,28.958
1396.4324,533.2349,27.9483
1383.4219,534.1664,27.7681
1375.5465,532.827,27.3089
1374.3,528.9406,26.4514
1381.92,523.2768,26.0638
1401.4904,515.791,26.0638
1431.6526,511.2657,26.4441
1442.5281,512.4205,27.756
1418.3014,516.6429,29.9713
1390.1632,522.1871,31.2637
1383.7375,528.0712,32.694
1400.3273,532.9368,34.0183
1433.6958,536.4141,34.0183
1451.2455,536.4162,34.0183
1432.0172,533.1695,34.0183
1409.7552,529.5408,34.0936
